SKU,SIZE,NAME,SOLD_AT,SOLD_PRICE,CONDITION,SOURCE,GENDER,BRAND,SILHOUETTE,COLORWAY,RETAILPRICE,RELEASEDATE,IS_COLLAB,COLLABORATOR,COLOR,SIZE_VALUE,IS_WIDE,IS_UK,IS_EU
CV7652-300,8,Nike Air Max 96 Supreme Camo,2021-05-10T16:38:42Z,222,is_new,stockx,men,Nike,Air Max 96,Dark Army/Speed Red-Clear,175,06-05-2021,TRUE,supreme,red,8,FALSE,FALSE,FALSE
DB8148-001/DB7644-001,12,Nike LeBron 18 Kylian Mbappe,2021-05-10T16:38:54Z,165,is_new,stockx,men,Nike,Nike LeBron 18,Black/Purple-Red,225,07-01-2021,FALSE,None,black,12,FALSE,FALSE,FALSE
456230-A38G0-9064,6.5,Gucci Ace Embroidered Snake,2021-05-10T16:38:58.367Z,520,is_new,alias,men,Gucci,Gucci Ace,White,670,25-04-2019,FALSE,None,white,6.5,FALSE,FALSE,FALSE
AO2115-800,10.5,Nike Zoom Fly Mercurial Off-White Total Orange,2021-05-10T16:38:59Z,400,is_new,stockx,men,Nike,Zoom Fly,Total Orange/White-Volt,200,14-06-2018,TRUE,virgil abloh,orange,10.5,FALSE,FALSE,FALSE
CZ7928-100,10.5,Nike Air Force 1 Low Kith Knicks Home,2021-05-10T16:39:09Z,222,is_new,stockx,men,Nike,Air Force 1,White/Rush Blue-White-Brilliant Orange,130,18-12-2020,TRUE,ronnie fieg,blue,10.5,FALSE,FALSE,FALSE
440892-106,4Y,Jordan 5 Retro White Pink Red (GS),2021-05-10T16:39:28Z,131,is_new,stockx,child,Jordan,Air Jordan 5,White/Pink Foam-Gym Red,140,09-10-2020,FALSE,None,white,4,FALSE,FALSE,FALSE
DD1667-100,12,Jordan 1 Mid Paint Drip (PS),2021-05-10T16:39:36Z,84,is_new,stockx,preschool,Jordan,Air Jordan 1,White/Green Glow-Arctic Punch,65,28-02-2021,FALSE,None,green,12,FALSE,FALSE,FALSE
CJ0952-100,11.5,Nike Air Force 1 Low White Black (2020),2021-05-10T16:39:44Z,125,is_new,stockx,men,Nike,Air Force 1,White/Black,90,01-01-2020,FALSE,None,white,11.5,FALSE,FALSE,FALSE
CQ4018-101,10.5,Nike Air Force 1 High Alyx White Black (2020),2021-05-10T16:39:44Z,235,is_new,stockx,men,Nike,Air Force 1,White/Black,125,16-01-2020,FALSE,None,white,10.5,FALSE,FALSE,FALSE
CW7183-100,8.5W,Jordan 4 Retro Starfish (Women's),2021-05-10T16:39:46Z,250,is_new,stockx,women,Jordan,Air Jordan 4,Sail/Black-Starfish-Light Smoke Grey,200,22-01-2021,FALSE,None,grey,8.5,FALSE,FALSE,FALSE
FY5630,9,adidas Ultra 4D Nice Kicks Tie-Dye,2021-05-10T16:39:50Z,185,is_new,stockx,men,adidas,Ultra 4D,Black/White,250,05-03-2021,FALSE,None,black,9,FALSE,FALSE,FALSE
155651C,9,Converse Fastbreak 83 Mid White Casino,2021-05-10T16:40:26Z,104,is_new,stockx,men,Converse,Fastbreak,White/Casino-White,85,01-01-2017,FALSE,None,white,9,FALSE,FALSE,FALSE
553680WHGP59061,43.5,Alexander McQueen Oversized Ivory Black,2021-05-10T16:40:28Z,444,is_new,stockx,men,Alexander McQueen,Alexander McQueen Oversized,Ivory,490,02-03-2019,FALSE,None,cream,43.5,FALSE,FALSE,FALSE
315122-111/CW2288-111,8,Nike Air Force 1 Low '07 White,2021-05-10T16:40:33Z,129,is_new,stockx,men,Nike,Nike Air Force 1 Low '07,White/White,110,24-11-2007,FALSE,None,white,8,FALSE,FALSE,FALSE
FU8407,11.5,adidas Rivalry Hi Sankuanz,2021-05-10T16:41:13Z,136,is_new,stockx,men,adidas,Rivalry,Footwear White/Silver Metallic/Footwear White,130,23-05-2020,TRUE,sankuanz,white,11.5,FALSE,FALSE,FALSE
DH5284-100,10,Nike Air Force 1 Low Gold Link Zebra,2021-05-10T16:41:21Z,139,is_new,stockx,men,Nike,Air Force 1,White/Gold/Black,110,08-02-2021,FALSE,None,white,10,FALSE,FALSE,FALSE
AO3189-201,6.5W,Nike Air Max FF 720 Medium Olive Light Bone (Women's),2021-05-10T16:41:29Z,129,is_new,stockx,women,Nike,Air Max FF 720,Medium Olive/Light Bone,225,28-09-2019,FALSE,None,green,6.5,FALSE,FALSE,FALSE
BQ6472-114,8W,Jordan 1 Mid UNC (Women's),2021-05-10T16:41:33Z,250,is_new,stockx,women,Jordan,Air Jordan 1,White/Dark Powder Blue-White,115,01-01-2020,FALSE,None,blue,8,FALSE,FALSE,FALSE
CQ2344-001,10,Nike Air Force 1 Type Black Hyper Crimson,2021-05-10T16:41:39Z,150,is_new,stockx,men,Nike,Air Force 1,Black/Hyper Crimson-Wolf Grey-White,140,14-12-2019,FALSE,None,black,10,FALSE,FALSE,FALSE
CN1085-200,3.5Y,Jordan 6 Retro Travis Scott (GS),2021-05-10T16:41:40Z,381,is_new,stockx,child,Jordan,Air Jordan 6,Medium Olive/Black-Sail-University Red,160,11-10-2019,TRUE,None,green,3.5,FALSE,FALSE,FALSE
GZ6984,9,adidas Yeezy Boost 700 Sun,2021-05-10T16:41:40Z,550,is_new,stockx,men,adidas,Yeezy Boost 700,Sun/Black/Orange,240,23-01-2021,TRUE,kanye west,orange,9,FALSE,FALSE,FALSE
CI1184-146,14,Jordan 4 Retro What The,2021-05-10T16:41:47Z,374,is_new,stockx,men,Jordan,Air Jordan 4,White/Military Blue-Fire Red-Black-Cement Grey,200,23-11-2019,FALSE,None,white,14,FALSE,FALSE,FALSE
313170-381,10.5,Nike SB Dunk Low Green Spark Hoop Orange,2021-05-10T16:41:58Z,450,is_new,stockx,men,Nike,Dunk SB,Green Spark/Hoop Orange,98,01-10-2009,FALSE,None,green,10.5,FALSE,FALSE,FALSE
H02574,13,adidas Adilette Eric Emanuel McDonald's All American,2021-05-10T16:42:04Z,62,is_new,stockx,men,adidas,Adilette,Bold Gold/Red,65,08-04-2021,FALSE,None,red,13,FALSE,FALSE,FALSE
BQ6806-103,13,Nike Blazer Mid 77 Vintage Racer Blue,2021-05-10T16:42:10Z,100,is_new,stockx,men,Nike,Blazer,Summit White/Racer Blue-Sail,100,08-10-2019,FALSE,None,white,13,FALSE,FALSE,FALSE
604133-050,9.5,Nike Air Max Plus Triple Black,2021-05-10T16:42:18Z,137,is_new,stockx,men,Nike,Air Max Plus,Black/Black-Black,150,20-12-2017,FALSE,None,black,9.5,FALSE,FALSE,FALSE
BQ6931-100,6Y,Jordan 1 Mid SE White Black Red Spruce (GS),2021-05-10T16:42:39Z,138,is_new,stockx,child,Jordan,Air Jordan 1,White/Black-Red-Spruce,100,05-06-2020,FALSE,None,white,6,FALSE,FALSE,FALSE
H03327,11,Reebok Classic Leather Awake NY Snakeskin,2021-05-10T16:42:40Z,110,is_new,stockx,men,Reebok,Reebok Classic,Sandtrap/Chalk,120,13-03-2021,FALSE,None,cream,11,FALSE,FALSE,FALSE
469764-800,14,Nike LeBron 9 China (YOTD),2021-05-10T16:42:47Z,500,is_new,stockx,men,Nike,Lebron 9,Neptune Blue/Total Orange-Current Blue-CP,170,17-12-2011,FALSE,None,blue,14,FALSE,FALSE,FALSE
DD9183-001,13,Nike Air Force 1 Low Miami Nights,2021-05-10T16:43:02Z,140,is_new,stockx,men,Nike,Air Force 1,Black/Teal/Hot Pink,110,09-02-2021,FALSE,None,black,13,FALSE,FALSE,FALSE
DJ5196-615,5.5,Jordan 1 Low Easter Pastel,2021-05-10T16:43:03Z,197,is_new,stockx,men,Jordan,Air Jordan 1,Teal/Pink/Purple-Yellow,110,20-04-2021,FALSE,None,white,5.5,FALSE,FALSE,FALSE
AT9865-100,8.5,Nike Air Max 95 White Pure Platinum,2021-05-10T16:43:09Z,122,is_new,stockx,men,Nike,Air Max 95,White/Pure Platinum-Reflect Silver-White,160,01-07-2019,FALSE,None,white,8.5,FALSE,FALSE,FALSE
GY0093,5,adidas NMD Hu Pharrell Black,2021-05-10T16:43:12Z,195,is_new,stockx,men,adidas,NMD Human Race,Core Black/Core Black/Core Black,220,19-11-2020,FALSE,None,black,5,FALSE,FALSE,FALSE
EE6461,5.5,adidas Ozweego Trace Cargo,2021-05-10T16:43:19Z,151,is_new,stockx,men,adidas,Ozweego,Trace Cargo/Night Cargo/Raw Khak,110,01-11-2019,FALSE,None,blue,5.5,FALSE,FALSE,FALSE
CZ4776-107,10.5W,Jordan 1 Low Laser Orange (Women's),2021-05-10T16:43:36Z,234,is_new,stockx,women,Jordan,Air Jordan 1,White/Black-Laser Orange,90,10-07-2020,FALSE,None,white,10.5,FALSE,FALSE,FALSE
